KnapsackId,NumberOfItems,CpuTime,NodesVisited,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14,Item_15,Item_16,Item_17,Item_18,Item_19
173,20,0.0625,524288,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true
174,20,0.0,48247,true,false,false,false,true,false,false,false,true,false,true,true,true,false,false,false,true,false,true,true
175,20,0.0625,522144,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,false,true,false,true
176,20,0.0,77042,true,false,true,true,false,false,false,false,false,true,true,true,true,false,false,true,true,true,true,true
177,20,0.0,397,false,false,false,false,true,false,false,true,true,false,true,false,false,false,false,false,false,true,false,false
178,20,0.0,4,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false
179,20,0.015625,37003,false,true,true,true,false,false,false,false,true,false,false,false,false,true,false,true,false,false,true,false
180,20,0.0,311,false,false,false,false,true,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false
181,20,0.0,25750,true,false,false,false,false,true,true,true,true,false,true,true,false,false,true,false,false,false,false,true
182,20,0.046875,440867,false,true,true,true,true,true,false,true,true,true,false,true,true,true,true,true,false,false,true,true
183,20,0.0,14058,false,true,false,false,true,true,true,true,false,false,false,true,true,false,false,false,false,false,false,false
184,20,0.046875,524248,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,false,true
185,20,0.03125,397958,true,true,true,false,true,true,true,false,true,false,true,true,true,false,false,true,true,true,false,true
186,20,0.03125,468294,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,false,false,true
187,20,0.0,15290,true,false,false,true,true,false,false,false,false,true,false,false,true,true,false,false,false,false,true,true
188,20,0.015625,282444,true,false,true,true,false,false,true,true,true,true,false,true,false,false,false,true,true,false,true,true
189,20,0.03125,524172,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true
190,20,0.015625,172935,false,true,true,false,true,false,true,false,true,false,true,true,false,true,true,true,false,false,false,true
191,20,0.0,51,false,false,false,false,false,false,true,true,false,false,true,false,false,false,true,false,false,false,false,false
192,20,0.046875,496996,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,false,true,false,true,true
193,20,0.015625,150831,false,true,false,true,false,true,false,true,true,false,true,false,false,true,false,true,false,true,true,false
194,20,0.015625,220947,true,false,false,true,true,true,false,true,true,true,true,true,true,false,false,true,true,false,false,false
195,20,0.03125,379484,false,true,false,true,false,true,true,true,true,true,true,false,true,true,true,false,false,false,false,true
196,20,0.03125,524284,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true
