KnapsackId,NumberOfItems,CpuTime,NodesVisited,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Item_11,Item_12,Item_13,Item_14
310,15,0.0,1174,false,false,false,false,false,false,true,true,true,true,false,true,false,false,true
311,15,0.0,15756,false,true,true,true,true,true,false,true,true,true,true,true,true,true,false
312,15,0.0,8010,false,true,true,true,true,true,false,false,true,false,false,true,false,true,true
313,15,0.0,686,true,true,false,false,false,false,true,false,false,false,false,false,false,false,true
314,15,0.0,16087,true,false,true,true,true,true,true,true,true,true,true,true,false,true,false
315,15,0.0,5856,false,true,false,false,false,true,false,true,true,true,false,true,true,false,true
316,15,0.0,16,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false
317,15,0.0,5112,false,true,false,false,true,true,true,false,true,true,false,false,false,true,true
318,15,0.0,15423,false,true,true,true,true,false,false,true,true,true,false,true,true,true,true
319,15,0.0,725,false,false,false,false,false,false,false,false,true,false,true,true,true,false,true
320,15,0.0,1508,true,true,false,true,false,true,true,false,true,false,false,false,true,false,false
321,15,0.015625,13723,false,false,true,true,true,true,true,true,true,false,false,true,false,true,true
322,15,0.0,16379,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true
323,15,0.0,2818,true,false,true,false,true,true,false,true,false,true,true,false,false,true,true
324,15,0.0,9968,true,true,true,true,false,true,true,false,false,false,true,false,true,true,false
325,15,0.0,5976,true,false,false,true,false,false,false,true,true,true,true,false,true,true,false
326,15,0.0,8853,true,true,false,true,true,false,true,false,true,true,true,true,false,false,true
327,15,0.0,14662,true,true,false,true,false,false,true,true,true,false,false,false,true,true,true
